<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20100421,14206.20,14206.20,14128.60,14129.20,323697533
Overall Index,20100424,14115.50,14119.80,14079.80,14079.90,156980133
Overall Index,20100425,14048.60,14081.50,13996.50,14053.30,308552662
Overall Index,20100426,14040.90,14145.50,14040.90,14129.00,252206408
Overall Index,20100427,14213.40,14215.20,14136.80,14139.40,202347867
Overall Index,20100428,14133.10,14133.10,14012.50,14012.50,202252517
Overall Index,20100501,14029.60,14146.10,14029.60,14136.70,217862462
Overall Index,20100502,14162.20,14162.20,14085.90,14085.90,213361090
Overall Index,20100503,14114.60,14114.60,14012.50,14012.60,180414962
Overall Index,20100504,14034.10,14040.20,14012.80,14036.70,216577912
Overall Index,20100505,14022.00,14022.00,13943.70,13944.80,318453044
Overall Index,20100508,13923.70,13925.60,13908.30,13920.50,193582075
Overall Index,20100509,13943.40,14014.30,13943.40,14014.30,196029862
Overall Index,20100510,14044.30,14099.50,14044.30,14099.50,170029526
Overall Index,20100511,14130.90,14140.20,14116.80,14131.70,143837329
Overall Index,20100512,14133.20,14133.20,14105.30,14105.30,149819503
Overall Index,20100515,14119.30,14128.30,14091.30,14096.10,134183685
Overall Index,20100516,14108.80,14138.80,14108.40,14138.80,121789090
Overall Index,20100518,14132.30,14177.10,14132.30,14156.70,158946290
Overall Index,20100519,14173.40,14177.90,14141.00,14155.60,222853636
Overall Index,20100522,14159.00,14159.00,14117.20,14117.20,128192549
Overall Index,20100523,14114.20,14114.80,14076.00,14080.50,91492658
Overall Index,20100524,14094.30,14115.90,14094.30,14115.50,271314908
Overall Index,20100525,14123.80,14189.00,14123.80,14184.30,151992067
Overall Index,20100526,14187.20,14189.00,14150.60,14153.80,254828817
Overall Index,20100529,14159.80,14161.10,14119.90,14119.90,136232482
Overall Index,20100530,14117.20,14119.40,14063.40,14087.60,96089027
Overall Index,20100531,14088.00,14092.80,14038.30,14038.30,149932415
Overall Index,20100601,14043.60,14116.80,14043.60,14109.00,151026767
Overall Index,20100602,14127.20,14182.40,14127.20,14182.40,163721948
Overall Index,20100606,14194.90,14200.40,14164.70,14164.70,130511171
Overall Index,20100607,14174.00,14176.30,14128.30,14135.30,93223612
Overall Index,20100608,14137.30,14188.10,14130.70,14148.80,144469679
Overall Index,20100609,14144.60,14144.60,14055.10,14055.10,84357938
Overall Index,20100612,14053.80,14114.90,14053.80,14114.90,86412906
Overall Index,20100613,14121.60,14180.30,14121.60,14180.30,95084257
Overall Index,20100614,14214.00,14288.50,14214.00,14288.50,545155521
Overall Index,20100615,14317.70,14394.30,14317.70,14394.20,163608721
Overall Index,20100616,14407.90,14407.90,14371.60,14372.00,141295640
Overall Index,20100619,14377.80,14381.90,14340.60,14340.60,272912807
Overall Index,20100620,14348.90,14371.60,14280.90,14280.90,138562951
Overall Index,20100621,14272.30,14272.60,14251.90,14257.00,130157919
